Índice,Tipos de Serviços,Categoria de Atendimento,Tipo de Atendimento,Quantidade Mensal de Atendimentos Estimados,Quantidade Total de AtendimentosEstimados em 12 meses,Valor unitário,Valor mensal,Valor anual,Valor 30 meses,Ano_Vigência,id_contrato
1,TELEATENDIMENTO RECEPTIVO,Humano,Teleatendimento Humano Receptivo,668465,8021580,2.97,1988732.42,11932394.4,59661972.6,2025/26,1
2,TELEATENDIMENTO RECEPTIVO,Eletrônico,AtendimentoURA- Unidadede Resposta Audível,4056527,48678324,0.42,1692257.14,10153542.8,50767714.2,2025/26,1
3,ATENDIMENTO HELP DESK,Humano,Help Desk,10068,120816,9.44,95053.93,570323.54,2851617.9,2025/26,1
4,ATENDIMENTO MULTIMEIOS,Humano,Chat-AtendimentoHumano,40616,487392,4.89,198420.05,1190520.2,5952601.5,2025/26,1
5,ATENDIMENTO MULTIMEIOS,Humano,Serviço de Mensageria Instantânea Humano,192705,2312460,1.07,207322.99,1243937.8,6219689.7,2025/26,1
6,ATENDIMENTO MULTIMEIOS,Humano,Carta,50,600,11.75,587.34,3523.98,17620.2,2025/26,1
7,ATENDIMENTO MULTIMEIOS,Humano,Atendimento Presencial,130,1560,5.8,753.54,4521.23,22606.2,2025/26,1
8,ATENDIMENTO MULTIMEIOS,Humano,E-mail/Formulário eletrônico,62999,755988,4.97,313299.89,1879799.3,9398996.7,2025/26,1
9,ATENDIMENTO MULTIMEIOS,Eletrônico,Plataformas,80018,960216,1.43,114198.24,685189.48,3425947.2,2025/26,1
10,ATENDIMENTO MULTIMEIOS,Eletrônico,Chat -AtendimentoBot,0,0,0.29,0,0,0,2025/26,1
11,ATENDIMENTO MULTIMEIOS,Eletrônico,Aplicativo,0,0,0.29,0,0,0,2025/26,1
12,ATENDIMENTO MULTIMEIOS,Eletrônico,Assistente Virtual,0,0,0.29,0,0,0,2025/26,1
13,ATENDIMENTO MULTIMEIOS,Eletrônico,Serviço de Mensageria Instantânea Menu Eletrônico,853082,10236984,1.41,1198751.42,7192508.5,35962542.6,2025/26,1
14,ATENDIMENTO MULTIMEIOS,Eletrônico,Serviço mensageria Instantânea Bot,0,0,0.2,0,0,0,2025/26,1
15,ATIVO,Humano,Teleatendimento Humano Ativo,168333,2019996,2.71,456451.46,2738708.7,13693543.8,2025/26,1
16,ATIVO,Eletrônico,Ativo mensagemde Texto - SMS,5050000,60600000,0.05,277197.79,1663186.7,8315933.7,2025/26,1
17,ATIVO,Eletrônico,Ativo mensagemde Voz - Voice,841667,10100004,0.39,323397.56,1940385.3,9701926.8,2025/26,1
18,ATIVO,Eletrônico,Mala Direta(ativo por e-mail),5050000,60600000,0.03,166318.68,997912.06,4989560.4,2025/26,1
